Ion Type (raw),Ion Type (Normalized),Structure Type (raw),Structure Group (Canonical),Doping / and or GB Strategy,superionic conductor Formula (Chemical),Conductivity (raw),Conductivity σ (S/cm) [numeric],Temperature (°C),Activation Energy Ea (raw),Activation Energy Ea (eV)  [smart parsed],"Activation Energy Ea (candidates, eV)",Cycle Life (raw),Structure Family (Canonical)
Li+,Li+,"Halide, monoclinic (after heat treatment)",Halide,High-level Zr4+ substitution,Li2.5Yb0.5Zr0.5Cl6,1.5e-3 / 25,0.0015,,0.24,0.24,0.24,–,Halide
Li+,Li+,"Halide, trigonal",Halide,Partial substitution Yb3+→Hf4+,Li2.8Yb0.8Hf0.2Cl6,8.7e-4 / 25,0.00087,,0.30,0.3,0.3,–,Halide
Li+,Li+,"Halide, monoclinic (after heat treatment)",Halide,High-level Hf4+ substitution,Li2.5Yb0.5Hf0.5Cl6,1.4e-3 / 25,0.0014,,0.25,0.25,0.25,–,Halide
Li+,Li+,Halide (defect-rich),Halide,Anion engineering: F- + O2- co-substitution in Li3ZrCl6,Li2.5ZrCl5F0.5O0.5 (LZCFO),1.17e-3 / 30,0.00117,,0.28,0.28,0.28,–,Halide
Li+,Li+,Halide (hcp),Halide,–,Li3ZrCl6 (reference),0.62e-3 / 30,0.00062,,0.34,0.34,0.34,–,Halide
Li+,Li+,Halide (hcp),Halide,Fully ordered cation framework,Li2ZrCl6 (ordered),2.0e-4 / 25 (from MD curve),0.0002,,0.37 (from Arrhenius fit),0.37,0.37,–,Halide
Li+,Li+,Halide (hcp),Halide,Partially disordered Zr sublattice,Li2ZrCl6 (disordered Zr),1.1e-3 / 25 (from MD curve),0.0011,,0.23 (from Arrhenius fit),0.23,0.23,–,Halide
Li+,Li+,"Halide (orthorhombic, stacking faulted)",Halide,–,Li3HoBr6 (x=0),3.2e-4 / 25,0.00032,,0.34,0.34,0.34,–,Halide
Li+,Li+,"Halide (orthorhombic, more stacking faults)",Halide,Partial substitution Br-→I-,Li3HoBr5I (x=1),6.8e-4 / 25,0.00068,,0.28,0.28,0.28,–,Halide
Li+,Li+,"Halide (orthorhombic, high stacking faults)",Halide,Partial substitution Br-→I-,Li3HoBr4I2 (x=2),1.2e-3 / 25,0.0012,,0.23,0.23,0.23,–,Halide
Li+,Li+,"Halide (orthorhombic, maximum stacking faults)",Halide,Partial substitution Br-→I-,Li3HoBr3I3 (x=3),1.7e-3 / 25,0.0017,,0.20,0.2,0.2,–,Halide
Li⁺,Li+,Argyrodite (cubic),Argyrodite,–,Li6PS5Cl,3.4e-4 / RT,0.00034,,0.399,0.399,0.399,–,Argyrodite
Li⁺,Li+,Argyrodite (cubic),Argyrodite,–,Li6PS5Br,3.1e-4 / RT,0.00031,,0.417,0.417,0.417,–,Argyrodite
Li⁺,Li+,Argyrodite (cubic),Argyrodite,–,Li6PS5I,2.9e-5 / RT,2.9e-05,,0.419,0.419,0.419,–,Argyrodite
Li⁺,Li+,Argyrodite composite,Polymer composite,Excess LiCl doping,Li6PS5Cl·LiCl,5.3e-4 / RT,0.00053,,0.29,0.29,0.29,–,Polymer composite
Li⁺,Li+,"Halide (hexagonal close packed Cl⁻, P3̅m1)",Halide,High concentration of stacking faults and Li defect layers (mechanochemical synthesis),Li₃YCl₆ (BM-LYC),0.49 mS·cm⁻¹ / 25 °C,0.49,25.0,0.41 ± 0.006,0.41,0.41; 0.006,–,Halide
Li⁺,Li+,"Halide (hexagonal close packed Cl⁻, P3̅m1)",Halide,Lower stacking fault concentration; multiphasic sample,Li₃YCl₆ (SS-LYC),0.067 mS·cm⁻¹ / 25 °C,0.067,25.0,0.47 ± 0.004,0.47,0.47; 0.004,–,Halide
Li⁺,Li+,"Halide (hcp, P3m1)",Halide,–,Li₂ZrCl₆ (LZC),4.13 mS·cm⁻¹ / 25 °C,4.13,25.0,0.424,0.424,0.424,–,Halide
Li⁺,Li+,"Halide (hcp, P3m1) with lattice extension",Halide,I⁻ substitution for Cl⁻ expands lattice and enhances disorder,"Li₂ZrCl₅I (LZCI, x=1)",13.6 mS·cm⁻¹ / 25 °C,13.6,25.0,0.32,0.32,0.32,–,Halide
Li⁺,Li+,"Halide (layered, P2₁/c for hydrate)",Halide,– (fully hydrated),Li₃InCl₆ hydrate (Li₃InCl₆·2H₂O),3.5×10⁻⁷ S·cm⁻¹ / 25 °C,3.5,25.0,≈3 (hydrate region),,3 | cleared_unresolvable_outlier,–,Halide
Li⁺,Li+,Halide (layered),Halide,"Partial dehydration phase, grain boundary formation",Li₃InCl₆ sub-hydrate (Li₃InCl₆·0.5H₂O),Conductivity increases drastically during dehydration; activation energy drops to ~2 eV in sub-hydrate region,2.0,,–,,,–,Halide
Li⁺,Li+,Halide (C2/m for anhydrous),Halide,–,Li₃InCl₆ (anhydrous),1.1×10⁻³ S·cm⁻¹ / 25 °C,1.1,25.0,≈0.3 after cool-down,0.3,0.3,–,Halide
Li⁺,Li+,"Halide (hcp, P3̅m1)",Halide,–,Li₂ZrCl₆ (LZC),0.40 mS·cm⁻¹ / 30 °C,0.4,30.0,0.37,0.37,0.37,–,Halide
Li⁺,Li+,Halide nanocomposite (hcp Li₂ZrCl₆ + nano ZrO₂),Halide,Interfacial superionic conduction via O-substituted interphase,ZrO₂–2Li₂ZrCl₆ (HNSE),1.1 mS·cm⁻¹ / 30 °C,1.1,30.0,0.31,0.31,0.31,–,Halide
Li⁺,Li+,Halide nanocomposite,Halide,External ZrO₂ nanoparticles (~20 nm) mixed with Li₂ZrCl₆,nZrO₂–2Li₂ZrCl₆ (control),0.6 mS·cm⁻¹ / 30 °C,0.6,30.0,–,,,–,Halide
Na⁺,Na+,Halide nanocomposite,Halide,Interfacial conduction,0.13ZrO₂–0.61NaCl–0.26Na₂ZrCl₆,0.11 mS·cm⁻¹ / 30 °C,0.11,30.0,–,,,–,Halide
Li⁺,Li+,Halide nanocomposite (fluorinated),Halide,F-substitution plus interfacial conduction,ZrO₂–2Li₂ZrCl₅F (HNSE-F),0.49 mS·cm⁻¹ / 30 °C,0.49,30.0,–,,,–,Halide
Li⁺,Li+,Halide nanocomposite,Halide,SnO₂ nanograins,SnO₂–2Li₂ZrCl₆ (HNSE),1.6 mS·cm⁻¹ / 30 °C,1.6,30.0,–,,,–,Halide
Li⁺,Li+,Halide nanocomposite,Halide,Al₂O₃ nanograins,Al₂O₃–3Li₂ZrCl₆ (HNSE),0.88 mS·cm⁻¹ / 30 °C,0.88,30.0,–,,,–,Halide
Li⁺,Li+,Halide nanocomposite,Halide,Fe³⁺ substitution in Li₂ZrCl₆ plus ZrO₂ interfacial conduction,0.75ZrO₂–Li₂.₂₅Zr₀.₇₅Fe₀.₂₅Cl₆ (HNSE-Fe),1.4 mS·cm⁻¹ / 30 °C,1.4,30.0,–,,,–,Halide
Li⁺,Li+,Halide (trigonal P3̅m1),Halide,–,Li₃ErCl₆ (x=0),8.7×10⁻⁵ / 25 °C,8.7,25.0,–,,,–,Halide
Li⁺,Li+,Halide (phase I),Halide,Zr⁴⁺ substitution,Li₂.9Er₀.9Zr₀.1Cl₆ (x=0.1),3.6×10⁻⁴ / 25 °C,3.6,25.0,–,,,–,Halide
Li⁺,Li+,Halide (phase II Li3LuCl6-type),Halide,Zr⁴⁺ substitution,Li₂.8Er₀.8Zr₀.2Cl₆ (x=0.2),7.7×10⁻⁴ / 25 °C,7.7,25.0,–,,,–,Halide
Li⁺,Li+,"Halide (phase III, new)",Halide,Zr⁴⁺ substitution (max conductivity),Li₂.633Er₀.633Zr₀.367Cl₆ (x=0.367),1.1×10⁻³ / 25 °C,1.1,25.0,–,,,–,Halide
Li⁺,Li+,"Halide (phase III, Y system)",Halide,Zr⁴⁺ substitution,Li₂.5Y₀.5Zr₀.5Cl₆ (x=0.5),1.4×10⁻³ / 25 °C,1.4,25.0,0.33,0.33,0.33,–,Halide
Li⁺,Li+,Argyrodite (F-43m),Argyrodite,–,Li₆PS₅Cl (x=0),2.5 mS·cm⁻¹ / 25 °C,2.5,25.0,0.34 (EIS); 0.35 (PFG),0.34,0.34; 0.35,–,Argyrodite
Li⁺,Li+,Argyrodite (F-43m),Argyrodite,Halide-rich solid solution,Li₅.₇₅PS₄.₇₅Cl₁.₂₅ (x=0.25),4.2 mS·cm⁻¹ / 25 °C,4.2,25.0,0.33 (EIS); 0.343 (PFG),0.33,0.33; 0.343,–,Argyrodite
Li⁺,Li+,Argyrodite,Argyrodite,Halide-rich,Li₅.₆₂₅PS₄.₆₂₅Cl₁.₃₇₅ (x=0.375),5.6 mS·cm⁻¹ / 25 °C,5.6,25.0,0.31 (EIS); 0.320 (PFG),0.31,0.31; 0.32,–,Argyrodite
Li⁺,Li+,Argyrodite (F-43m),Argyrodite,End-member halide-rich,Li₅.₅PS₄.₅Cl₁.₅ (x=0.5),"9.4 mS·cm⁻¹ / 25 °C (cold-pressed); 12.0 mS·cm⁻¹ / 25 °C (sintered 550 °C, 10 min)",9.4,25.0,0.29 (EIS/PFG),0.29,0.29,–,Argyrodite
Li⁺,Li+,Argyrodite (F-43m),Argyrodite,Halide-rich,Li₅.₄₅PS₄.₄₅Cl₁.₅₅,5.9 mS·cm⁻¹ / 25 °C,5.9,25.0,,,,–,Argyrodite
Li⁺,Li+,Argyrodite (F-43m),Argyrodite,Halide-rich,Li₅.₄PS₄.₄Cl₁.₆,3.3 mS·cm⁻¹ / 25 °C,3.3,25.0,,,,–,Argyrodite
Li⁺,Li+,Sulfide glass-ceramic (triclinic P1),Glassy sulfide,–,Li₇P₃S₁₁ (pristine),0.43 mS·cm⁻¹ / 25 °C,0.43,25.0,–,,,"Stable up to 5 V, Li/Li symmetric >100 h no decomposition",Sulfide
Li⁺,Li+,Sulfide glass-ceramic,Glassy sulfide,0.5 M AgI doping/mixing,Li₇Ag₀.₂₅P₃S₁₁I₀.₂₅ (270 °C),0.48 mS·cm⁻¹ / 25 °C,0.48,25.0,–,,,–,Sulfide
Li⁺,Li+,Sulfide glass-ceramic,Glassy sulfide,0.2 M AgI doping/mixing (optimum),Li₇Ag₀.₁P₃S₁₁I₀.₁ (270 °C),1.35 mS·cm⁻¹ / 25 °C; 7.9 mS·cm⁻¹ at 100 °C,1.35,25.0,0.23,0.23,0.23,"Stable up to 5 V; Li/Li symmetric >100 h; In/Li₇Ag₀.₁P₃S₁₁I₀.₁/NCM622 cell: 76.25 mAh g⁻¹ first cycle at 1C, 45.7 mAh g⁻¹ at 10th cycle",Sulfide
Li⁺,Li+,Sulfide glass-ceramic,Glassy sulfide,0.1 M AgI doping/mixing,Li₇Ag₀.₀₅P₃S₁₁I₀.₀₅ (270 °C),0.83 mS·cm⁻¹ / 25 °C,0.83,25.0,–,,,–,Sulfide
Li⁺,Li+,Sulfide glass-ceramic,Glassy sulfide,AgCl-doped,Li₇Ag₀.₁P₃S₁₁Cl₀.₁ (270 °C),"(value not explicitly given, but at 270 °C highest among Cl-doped)",270.0,270.0,–,,,–,Sulfide
Li⁺,Li+,Sulfide glass-ceramic,Glassy sulfide,AgBr-doped,Li₇Ag₀.₁P₃S₁₁Br₀.₁ (270 °C),"(value not explicitly given, but at 270 °C improved vs pristine)",270.0,270.0,–,,,–,Sulfide
Li⁺,Li+,Sulfide glass-ceramic,Glassy sulfide,MnCl₂-doped,Li₇Mn₀.₁P₃S₁₁Cl₀.₂,4.2×10⁻⁴ S·cm⁻¹ / 25 °C,4.2,25.0,–,,,–,Sulfide
Li⁺,Li+,Sulfide glass-ceramic,Glassy sulfide,CuCl₂-doped,Li₇Cu₀.₁P₃S₁₁Cl₀.₂,1.3×10⁻⁴ S·cm⁻¹ / 25 °C,1.3,25.0,–,,,–,Sulfide
Li⁺,Li+,Sulfide glass-ceramic,Glassy sulfide,SnCl₂-doped,Li₇Sn₀.₁P₃S₁₁Cl₀.₂,1.5×10⁻⁵ S·cm⁻¹ / 25 °C,1.5,25.0,–,,,–,Sulfide
Li⁺,Li+,Halide (hcp),Halide,–,Li₂ZrCl₆,5×10⁻⁴ S·cm⁻¹ / 25 °C,5.0,25.0,0.30,0.3,0.3,–,Halide
Na⁺,Na+,Halide (hcp),Halide,–,Na₂ZrCl₆,9×10⁻⁶ S·cm⁻¹ / 25 °C,9.0,25.0,0.40,0.4,0.4,–,Halide
Cu⁺,Cu+,Halide (hcp),Halide,–,Cu₂ZrCl₆,1×10⁻² S·cm⁻¹ / 25 °C,1.0,25.0,0.19,0.19,0.19,–,Halide
Ag⁺,Ag+,Halide (hcp),Halide,–,Ag₂ZrCl₆,4×10⁻³ S·cm⁻¹ / 25 °C,4.0,25.0,0.24,0.24,0.24,–,Halide
Li⁺,Li+,Halide (trigonal P3̅m1),Halide,–,Li₂ZrCl₆,5.0×10⁻⁴ / 25 °C,5.0,25.0,0.39,0.39,0.39,–,Halide
Li⁺,Li+,Halide (trigonal),Halide,0.1 S²⁻ substitution for Cl⁻,Li₂.₁ZrCl₅.₉S₀.₁,7.35×10⁻⁴ / 25 °C,7.35,25.0,0.36,0.36,0.36,–,Halide
Li⁺,Li+,Halide (trigonal),Halide,0.2 S²⁻ substitution for Cl⁻,Li₂.₂ZrCl₅.₈S₀.₂,8.55×10⁻⁴ / 25 °C,8.55,25.0,0.34,0.34,0.34,–,Halide
Li⁺,Li+,Halide (trigonal),Halide,0.3 S²⁻ substitution for Cl⁻,Li₂.₃ZrCl₅.₇S₀.₃,7.90×10⁻⁴ / 25 °C,7.9,25.0,0.35,0.35,0.35,–,Halide
Li⁺,Li+,β-Li₃PS₄ (no thio-LISICON II),LISICON,–,Li₁₀P₃S₁₂Cl (LPSCl),6.0e-4 / 25,0.0006,,0.268,0.268,0.268,–,LISICON
Li⁺,Li+,thio-LISICON II (LGPS-analog),LGPS,–,Li₁₀P₃S₁₂Br (LPSBr),1.7e-3 / 25,0.0017,,0.288,0.288,0.288,–,Other / Novel
Li⁺,Li+,thio-LISICON II (LGPS-analog),LGPS,–,Li₁₀P₃S₁₂I (LPSI),2.9e-3 / 25,0.0029,,0.209,0.209,0.209,–,Other / Novel
Li⁺,Li+,thio-LISICON II (LGPS-analog),LGPS,Mixed-halide solid solution (Br/I),Li₁₀P₃S₁₂Br₀.₆I₀.₄,3.9e-3 / 25,0.0039,,0.204,0.204,0.204,–,Other / Novel
Li⁺,Li+,β-Li₃PS₄ (no thio-LISICON II),LISICON,–,Li₁₀P₃S₁₂Cl (LPSCl),6.0e-4 / 25,0.0006,,0.268,0.268,0.268,–,LISICON
Li⁺,Li+,thio-LISICON II (LGPS-analog),LGPS,–,Li₁₀P₃S₁₂Br (LPSBr),1.7e-3 / 25,0.0017,,0.288,0.288,0.288,–,Other / Novel
Li⁺,Li+,thio-LISICON II (LGPS-analog),LGPS,–,Li₁₀P₃S₁₂I (LPSI),2.9e-3 / 25,0.0029,,0.209,0.209,0.209,–,Other / Novel
Li⁺,Li+,thio-LISICON II (LGPS-analog),LGPS,Mixed-halide solid solution (Br/I),Li₁₀P₃S₁₂Br₀.₆I₀.₄,3.9e-3 / 25,0.0039,,0.204,0.204,0.204,–,Other / Novel
Li⁺,Li+,Halide (trigonal P3̅m1),Halide,–,Li₃YCl₆ (x=0),5.0×10⁻⁴ / 25 °C,5.0,25.0,0.360,0.36,0.36,–,Halide
Li⁺,Li+,Halide (trigonal),Halide,5% Hf⁴⁺ substitution for Y³⁺,Li₂.₉Y₀.₉₅Hf₀.₀₅Cl₆ (x=0.05),8.7×10⁻⁴ / 25 °C,8.7,25.0,0.345,0.345,0.345,–,Halide
Li⁺,Li+,Halide (trigonal),Halide,10% Hf⁴⁺ substitution for Y³⁺,Li₂.₇Y₀.₉Hf₀.₁Cl₆ (x=0.1),1.49×10⁻³ / 25 °C,1.49,25.0,0.331,0.331,0.331,–,Halide
Li⁺,Li+,Halide (trigonal),Halide,20% Hf⁴⁺ substitution for Y³⁺,Li₂.₅Y₀.₈Hf₀.₂Cl₆ (x=0.2),1.10×10⁻³ / 25 °C,1.1,25.0,0.338,0.338,0.338,–,Halide
Li⁺,Li+,Argyrodite (F-43m),Argyrodite,Halide incorporation,Li₆PS₅Cl (x=1),2.5×10⁻³ / 25 °C,2.5,25.0,0.29,0.29,0.29,–,Argyrodite
Li⁺,Li+,Argyrodite,Argyrodite,Cl-rich solid solution,Li₆.₂₅PS₅.₂₅Cl₀.₇₅ (x=0.75),3.1×10⁻³ / 25 °C,3.1,25.0,0.27,0.27,0.27,–,Argyrodite
Li⁺,Li+,Argyrodite,Argyrodite,Cl-rich solid solution,Li₆.₅PS₅.₅Cl₀.₅ (x=0.5),3.5×10⁻³ / 25 °C,3.5,25.0,0.26,0.26,0.26,–,Argyrodite
Li⁺,Li+,Argyrodite,Argyrodite,Low Cl,Li₆.₈PS₅.₈Cl₀.₂ (x=0.2),2.8×10⁻³ / 25 °C,2.8,25.0,0.28,0.28,0.28,–,Argyrodite
Li⁺,Li+,Halide (monoclinic C2/m),Halide,–,Li₃InBr₆,2.3×10⁻³ / 25 °C,2.3,25.0,0.33,0.33,0.33,–,Halide
Li⁺,Li+,Halide (monoclinic),Halide,10% Y³⁺ for In³⁺,Li₃In₀.₉Y₀.₁Br₆,3.6×10⁻³ / 25 °C,3.6,25.0,0.30,0.3,0.3,–,Halide
Li⁺,Li+,Halide (monoclinic),Halide,10% Ga³⁺ for In³⁺,Li₃In₀.₉Ga₀.₁Br₆,3.3×10⁻³ / 25 °C,3.3,25.0,0.31,0.31,0.31,–,Halide
Li⁺,Li+,Halide (orthorhombic Pnma),Halide,Lanthanide replacement,Li₃GdBr₆,5.2×10⁻³ / 25 °C,5.2,25.0,0.28,0.28,0.28,–,Halide
Li⁺,Li+,Halide (orthorhombic),Halide,Lanthanide replacement,Li₃TbBr₆,4.8×10⁻³ / 25 °C,4.8,25.0,0.29,0.29,0.29,–,Halide
Li⁺,Li+,Halide (orthorhombic),Halide,Lanthanide replacement,Li₃HoBr₆,4.5×10⁻³ / 25 °C,4.5,25.0,0.30,0.3,0.3,–,Halide
Li⁺,Li+,Halide (orthorhombic),Halide,Lanthanide replacement,Li₃TmBr₆,4.1×10⁻³ / 25 °C,4.1,25.0,0.31,0.31,0.31,–,Halide
Li⁺,Li+,Halide (orthorhombic),Halide,Lanthanide replacement,Li₃LuBr₆,3.9×10⁻³ / 25 °C,3.9,25.0,0.32,0.32,0.32,–,Halide
Li⁺,Li+,Halide (trigonal P3̅m1),Halide,–,Li₂ZrCl₆ (x=0),0.72×10⁻³ / 25 °C,0.72,25.0,0.35,0.35,0.35,–,Halide
Li⁺,Li+,Halide (trigonal),Halide,30% Ta⁵⁺ substitution for Zr⁴⁺,Li1.7Zr0.7Ta0.3Cl6 (x=0.3),1.42×10⁻³ / 25 °C,1.42,25.0,0.29,0.29,0.29,–,Halide
Li⁺,Li+,Halide (trigonal),Halide,27% Ta⁵⁺ substitution for Zr⁴⁺,Li₂.₁Zr₀.₈₃Ta₀.₂₇Cl₆,1.68×10⁻³ / 25 °C,1.68,25.0,0.28,0.28,0.28,–,Halide
Li⁺,Li+,Halide (trigonal P3̅m1),Halide,–,Li₃ScCl₆ (x=0),0.91×10⁻³ / 25 °C,0.91,25.0,0.37,0.37,0.37,–,Halide
Li⁺,Li+,Halide (trigonal),Halide,Excess LiCl (site-occupation tuning),Li₃.₂ScCl₆.₂ (x=0.2),1.64×10⁻³ / 25 °C,1.64,25.0,0.33,0.33,0.33,–,Halide
Li⁺,Li+,Halide (trigonal),Halide,Excess LiCl (site-occupation tuning),Li₃.₄ScCl₆.₄ (x=0.4),2.10×10⁻³ / 25 °C,2.1,25.0,0.30,0.3,0.3,–,Halide
Li⁺,Li+,Halide (trigonal P3̅m1),Halide,–,Li₃YCl₆ (ampule),0.72×10⁻³ / 25 °C,0.72,25.0,0.35,0.35,0.35,–,Halide
Li⁺,Li+,Halide (trigonal),Halide,–,Li₃YCl₆ (mechanochemical),0.95×10⁻³ / 25 °C,0.95,25.0,0.33,0.33,0.33,–,Halide
Li⁺,Li+,Halide (monoclinic C2/m),Halide,–,Li₃YBr₆ (ampule),0.84×10⁻³ / 25 °C,0.84,25.0,0.34,0.34,0.34,–,Halide
Li⁺,Li+,Halide (monoclinic),Halide,–,Li₃YBr₆ (mechanochemical),1.05×10⁻³ / 25 °C,1.05,25.0,0.31,0.31,0.31,–,Halide
Li⁺,Li+,NASICON (rhombohedral R-3c),NASICON,–,Li1.5Al0.5Ge1.5(PO4)3 (LAGP),σtotal=3.5×10⁻⁴; σgrain=6.9×10⁻⁴; σGB=7.12×10⁻⁴ / RT,3.5,,Ea(total)=0.41; Ea(grain)=0.34,0.34,0.41; 0.34,–,NASICON
Li⁺,Li+,NASICON (R-3c),NASICON,1 mol % Sb³⁺ substitution for Ge⁴⁺,Li1.5+0.01Al0.5Sb0.01Ge1.49(PO4)3 (Sb1),σtotal=5.4×10⁻⁴; σgrain=8.3×10⁻⁴; σGB=11.8×10⁻⁴ / RT,5.4,,Ea(total)=0.38; Ea(grain)=0.34,0.34,0.38; 0.34,–,NASICON
Li⁺,Li+,NASICON (R-3c),NASICON,3 mol % Sb³⁺ substitution,Li1.5+0.03Al0.5Sb0.03Ge1.47(PO4)3 (Sb3),σtotal=5.6×10⁻⁴; σgrain=10.2×10⁻⁴; σGB=12.5×10⁻⁴ / RT,5.6,,Ea(total)=0.37; Ea(grain)=0.34,0.34,0.37; 0.34,–,NASICON
Li⁺,Li+,NASICON (R-3c),NASICON,5 mol % Sb³⁺ substitution,Li1.5+0.05Al0.5Sb0.05Ge1.45(PO4)3 (Sb5),σtotal=6.0×10⁻⁴; σgrain=14.1×10⁻⁴; σGB=17.9×10⁻⁴ / RT,6.0,,Ea(total)=0.36; Ea(grain)=0.35,0.35,0.36; 0.35,–,NASICON
Li⁺,Li+,NASICON (R-3c),NASICON,7 mol % Sb³⁺ substitution,Li1.5+0.07Al0.5Sb0.07Ge1.43(PO4)3 (Sb7),σtotal=7.7×10⁻⁴; σgrain=15.2×10⁻⁴; σGB=24.1×10⁻⁴ / RT,7.7,,Ea(total)=0.36; Ea(grain)=0.34,0.34,0.36; 0.34,–,NASICON
Li⁺,Li+,NASICON (rhombohedral),NASICON,–,Li1.3Al0.3Ti1.7(PO4)3 (baseline),2.1×10⁻⁴ / 25 °C,2.1,25.0,0.36,0.36,0.36,–,NASICON
Li⁺,Li+,NASICON,NASICON,0.05 Zr⁴⁺ substitution for Ti⁴⁺,Li1.3Al0.3Ti1.65Zr0.05(PO4)3,3.4×10⁻⁴ / 25 °C,3.4,25.0,0.34,0.34,0.34,–,NASICON
Li⁺,Li+,NASICON,NASICON,0.05 V⁵⁺ substitution for Ti⁴⁺,Li1.3Al0.3Ti1.65V0.05(PO4)3,3.1×10⁻⁴ / 25 °C,3.1,25.0,0.35,0.35,0.35,–,NASICON
Li⁺,Li+,NASICON,NASICON,0.05 Co²⁺ substitution,Li1.3Al0.3Ti1.65Co0.05(PO4)3,2.9×10⁻⁴ / 25 °C,2.9,25.0,0.35,0.35,0.35,–,NASICON
Li⁺,Li+,NASICON,NASICON,0.05 Cu²⁺ substitution,Li1.3Al0.3Ti1.65Cu0.05(PO4)3,2.7×10⁻⁴ / 25 °C,2.7,25.0,0.36,0.36,0.36,–,NASICON
Li⁺,Li+,NASICON,NASICON,0.05 Sn⁴⁺ substitution,Li1.3Al0.3Ti1.65Sn0.05(PO4)3,2.8×10⁻⁴ / 25 °C,2.8,25.0,0.35,0.35,0.35,–,NASICON
Li⁺,Li+,NASICON (rhombohedral),NASICON,–,Li₁.₃Al₀.₃Ti₁.₇(PO₄)₃ (NASICON baseline),2.1×10⁻⁴ / 25 °C,2.1,25.0,0.36,0.36,0.36,–,NASICON
Li⁺,Li+,NASICON,NASICON,0.2 As⁵⁺ substitution for Ti⁴⁺,Li₁.₃Al₀.₃As₀.₂Ti₁.₅(PO₄)₃ (As-doped NASICON),3.8×10⁻⁴ / 25 °C,3.8,25.0,0.32,0.32,0.32,–,NASICON
Li⁺,Li+,NASICON–glass composite,NASICON,As-doped + 3 wt% lithium phosphate glass additive,"LAAs₀.₂TP-G (NASICON–glass composite, 3 wt% glass)",5.2×10⁻⁴ / 25 °C,5.2,25.0,0.29,0.29,0.29,–,NASICON
Na⁺,Na+,NASICON-type,NASICON,"Tri-site co-doping: 3% K⁺ for Na⁺, 0.05 Al³⁺ for Ti⁴⁺, 0.05 (SiO₄) for (PO₄) + conductive carbon coating",Na₀.₉₇K₀.₀₃Ti₁.₉₅Al₀.₀₅(PO₄)₂.₉₅(SiO₄)₀.₀₅/C (NTP-KAS),–,,,–,,,–,NASICON
Na⁺,Na+,NASICON-type,NASICON,–,Na₂TiV(PO₄)₃/C (NTVP),–,,,–,,,–,NASICON
Na⁺,Na+,NASICON-type,NASICON,Co²⁺ substitution for Ti⁴⁺+V³⁺ plus rGO conductive additive,Na₃Co₂/₃Ti₂/₃V₂/₃(PO₄)₃/C/rGO (NCTVP),–,,,–,,,–,NASICON
Na⁺,Na+,NASICON-type,NASICON,–,Na₄VMn(PO₄)₃/C (baseline),"2.15×10⁻³ (electronic, four-probe) / RT",2.15,,–,,,–,NASICON
Na⁺,Na+,NASICON-type,NASICON,0.1 W⁶⁺ substitution for Mn²⁺,Na₃.₆VMn₀.₉W₀.₁(PO₄)₃/C (VMW-0.1),"4.27×10⁻³ (electronic, four-probe) / RT",4.27,,–,,,–,NASICON
Na⁺,Na+,NASICON-type,NASICON,0.2 W⁶⁺ substitution for Mn²⁺,Na₃.₂VMn₀.₈W₀.₂(PO₄)₃/C (VMW-0.2),"3.95×10⁻³ (electronic, four-probe) / RT",3.95,,–,,,–,NASICON
Li⁺,Li+,Halide (trigonal),Halide,–,Li₂ZrCl₆ (baseline),0.48×10⁻³ / 25 °C,0.48,25.0,0.356,0.356,0.356,–,Halide
Li⁺,Li+,Halide (trigonal),Halide,Rare earth Dy³⁺ doping + Ta⁵⁺ substitution,Li₂.₁Zr₀.₈Dy₀.₁₅Ta₀.₀₅Cl₆ (LZDTC),1.67×10⁻³ / 25 °C,1.67,25.0,0.272,0.272,0.272,–,Halide
Li⁺,Li+,Halide (trigonal),Halide,Rare earth Ce³⁺ doping + Ta⁵⁺ substitution,Li₂.₁Zr₀.₈Ce₀.₁₅Ta₀.₀₅Cl₆,1.54×10⁻³ / 25 °C,1.54,25.0,0.279,0.279,0.279,–,Halide
Li⁺,Li+,Halide (amorphous–crystalline composite),Halide,"Multiple-cation (Ta, Zr, Al, Ca) doped LaCl₃-based system",HELa0.5: 0.5LiCl–xLaCl₃(TaCl₅·ZrCl₄·AlCl₃·CaCl₂)₁/₄(1–x),0.82×10⁻³ / 25 °C,0.82,25.0,0.34,0.34,0.34,–,Halide
Na⁺,Na+,Tetragonal (superionic),Other,–,Na₃SbS₄ (baseline),0.4×10⁻³ / 25 °C,0.4,25.0,0.31,0.31,0.31,–,Other / Novel
Na⁺,Na+,Tetragonal,Other,Iso-valent V⁵⁺ for Sb⁵⁺,Na₃Sb₁₋ₓVₓS₄ (x≤0.2),0.6×10⁻³ / 25 °C (x=0.1),0.6,25.0,0.30,0.3,0.3,–,Other / Novel
Na⁺,Na+,Tetragonal,Other,Iso-valent Nb⁵⁺ for Sb⁵⁺,Na₃Sb₁₋ₓNbₓS₄ (x≤0.2),0.5×10⁻³ / 25 °C (x=0.1),0.5,25.0,0.30,0.3,0.3,–,Other / Novel
Na⁺,Na+,Tetragonal,Other,Iso-valent Ta⁵⁺ for Sb⁵⁺,Na₃Sb₁₋ₓTaₓS₄ (x≤0.2),0.48×10⁻³ / 25 °C (x=0.1),0.48,25.0,0.31,0.31,0.31,–,Other / Novel
